Parc Rosewood,Rosewood Drive,Ready to move,1700,1,1,430 sqft,S$ 3.95 psf,Condominium,Fully Furnished,2014,1h
Treasures @ G20,Geylang Lorong 20,Ready to move,1650,1,1,420 sqft,S$ 3.93 psf,Condominium,Partially Furnished,2016,1h
Reflections @ Keppel Bay,1 Keppel Bay View,,18000,4,5,5167 sqft,S$ 3.48 psf,Condominium,Partially Furnished,2013,1h
Reflections @ Keppel Bay,1 Keppel Bay View,,17000,5,5,4252 sqft,S$ 4.00 psf,Condominium,Partially Furnished,2013,1h
Reflections @ Keppel Bay,1 Keppel Bay View,,15000,4,5,2939 sqft,S$ 5.10 psf,Condominium,Partially Furnished,2013,1h
Sant Ritz,1 Pheng Geck Avenue,Available from 9 Apr,2500,1,1,527 sqft,S$ 4.74 psf,Condominium,Fully Furnished,2016,1h
Regency Suites,36 Kim Tian Road,Available from 1 Apr,6200,3,3,1421 sqft,S$ 4.36 psf,Apartment,Partially Furnished,2008,1h
Ardmore II,2 Ardmore Park,Ready to move,12500,4,3,2024 sqft,S$ 6.18 psf,Condominium,Fully Furnished,2010,1h
354A Admiralty Drive,354A Admiralty Drive,Ready to move,1999,3,2,1184 sqft,S$ 1.69 psf,HDB Apartment,Fully Furnished,,1h
Centro Residences,1 Ang Mo Kio Avenue 8,Ready to move,4300,3,2,1367 sqft,S$ 3.15 psf,Condominium,Partially Furnished,2014,1h
Sky Green,568 Macpherson Green,Ready to move,2100,1,1,474 sqft,S$ 4.43 psf,Condominium,Fully Furnished,2016,1h
The Sail @ Marina Bay,6 Marina Boulevard,Available from 26 Mar,8500,3,3,1938 sqft,S$ 4.39 psf,Apartment,Partially Furnished,2008,1h
368 Thomson,368 Thomson Road,Ready to move,3599,2,2,882 sqft,S$ 4.08 psf,Condominium,Partially Furnished,2014,1h
Grandlink Square,511 Guillemard Road,Ready to move,3200,3,3,1367 sqft,S$ 2.34 psf,Apartment,Partially Furnished,1998,1h
The Rochester,33 Rochester Drive,Ready to move,5100,2,2,1206 sqft,S$ 4.23 psf,Apartment,Fully Furnished,2011,1h
8 8 Saint Thomas,Saint Thomas Walk,Ready to move,3500,1,1,441 sqft,S$ 7.94 psf,Condominium,,2018,1h
20 Saint George's Road,20 Saint George's Road,Ready to move,1100,,,250 sqft,S$ 4.40 psf,HDB Apartment,Fully Furnished,,1h
The Rochester,33 Rochester Drive,Available from 31 Mar,6500,3,4,1701 sqft,S$ 3.82 psf,Apartment,Partially Furnished,2011,1h
442 Choa Chu Kang Avenue 4,442 Choa Chu Kang Avenue 4,Ready to move,600,,,100 sqft,S$ 6.00 psf,HDB Apartment,Fully Furnished,,1h
42 nassim road,,Ready to move,33000,6,6,9800 sqft 16000 sqft (land),S$ 2.06 psf,Good Class Bungalow,Partially Furnished,,1h
Parc Rosewood,Rosewood Drive,Ready to move,1700,1,1,430 sqft,S$ 3.95 psf,Condominium,Fully Furnished,2014,1h
Treasures @ G20,Geylang Lorong 20,Ready to move,1650,1,1,420 sqft,S$ 3.93 psf,Condominium,Partially Furnished,2016,1h
Reflections @ Keppel Bay,1 Keppel Bay View,,18000,4,5,5167 sqft,S$ 3.48 psf,Condominium,Partially Furnished,2013,1h
Reflections @ Keppel Bay,1 Keppel Bay View,,17000,5,5,4252 sqft,S$ 4.00 psf,Condominium,Partially Furnished,2013,1h
Reflections @ Keppel Bay,1 Keppel Bay View,,15000,4,5,2939 sqft,S$ 5.10 psf,Condominium,Partially Furnished,2013,1h
Sant Ritz,1 Pheng Geck Avenue,Available from 9 Apr,2500,1,1,527 sqft,S$ 4.74 psf,Condominium,Fully Furnished,2016,1h
Regency Suites,36 Kim Tian Road,Available from 1 Apr,6200,3,3,1421 sqft,S$ 4.36 psf,Apartment,Partially Furnished,2008,1h
Ardmore II,2 Ardmore Park,Ready to move,12500,4,3,2024 sqft,S$ 6.18 psf,Condominium,Fully Furnished,2010,1h
354A Admiralty Drive,354A Admiralty Drive,Ready to move,1999,3,2,1184 sqft,S$ 1.69 psf,HDB Apartment,Fully Furnished,,1h
Signature @ Lewis,1 Lewis Road,Ready to move,6000,3,4,1841 sqft,S$ 3.26 psf,Condominium,Partially Furnished,2011,1h
Bedok Residences,18 Bedok North Drive,Available from 15 Apr,5000,3,3,1442 sqft,S$ 3.47 psf,Condominium,Partially Furnished,2015,1h
The Promenade @ Pelikat,183 Jalan Pelikat,Ready to move,2200,2,2,958 sqft,S$ 2.30 psf,Condominium,Partially Furnished,2016,1h
Rangoon 88,88 Rangoon Road,Ready to move,2000,1,1,420 sqft,S$ 4.76 psf,Condominium,Fully Furnished,2015,1h
12A Hamilton Road,12A Hamilton Road,Ready to move,2800,2,2,1500 sqft,S$ 1.87 psf,Walk-up,Unfurnished,,1h
Bedok Residences,16 Bedok North Drive,Ready to move,6000,4,4,1841 sqft,S$ 3.26 psf,Condominium,Partially Furnished,2015,1h
462 Crawford Lane,462 Crawford Lane,Available from 1 Apr,2400,2,1,635 sqft,S$ 3.78 psf,HDB Apartment,Fully Furnished,,1h
10A Boon Tiong Road,10A Boon Tiong Road,,900,,,250 sqft,S$ 3.60 psf,HDB Apartment,Fully Furnished,,1h
Alexis,356 Alexandra Road,Available from 1 Apr,3900,2,2,1200 sqft,S$ 3.25 psf,Apartment,Fully Furnished,2014,1h
Echelon,9 Alexandra View,Ready to move,3500,2,2,732 sqft,S$ 4.78 psf,Condominium,Partially Furnished,2016,1h
12A Hamilton Road,12A Hamilton Road,Ready to move,2800,2,2,1500 sqft,S$ 1.87 psf,Walk-up,Unfurnished,,1h
Bedok Residences,16 Bedok North Drive,Ready to move,6000,4,4,1841 sqft,S$ 3.26 psf,Condominium,Partially Furnished,2015,1h
462 Crawford Lane,462 Crawford Lane,Available from 1 Apr,2400,2,1,635 sqft,S$ 3.78 psf,HDB Apartment,Fully Furnished,,1h
10A Boon Tiong Road,10A Boon Tiong Road,,900,,,250 sqft,S$ 3.60 psf,HDB Apartment,Fully Furnished,,1h
Alexis,356 Alexandra Road,Available from 1 Apr,3900,2,2,1200 sqft,S$ 3.25 psf,Apartment,Fully Furnished,2014,1h
Echelon,9 Alexandra View,Ready to move,3500,2,2,732 sqft,S$ 4.78 psf,Condominium,Partially Furnished,2016,1h
468 Jurong West Street 41,468 Jurong West Street 41,Ready to move,380,,,120 sqft,S$ 3.17 psf,HDB Apartment,Fully Furnished,,1h
14 Faber Ave,Faber Ave,Ready to move,6488,8,5,7000 sqft 5608 sqft (land),S$ 1.16 psf,Semi-Detached House,Unfurnished,,1h
Seletaris,501 Sembawang Road,Ready to move,1400,1,1,450 sqft,S$ 3.11 psf,Condominium,Fully Furnished,2001,1h
702 West Coast Road,702 West Coast Road,Ready to move,2100,2,2,67 sqft,S$ 31.34 psf,HDB Apartment,Fully Furnished,,1h
17A Telok Blangah Crescent,17A Telok Blangah Crescent,Ready to move,2700,3,2,1281 sqft,S$ 2.11 psf,HDB Apartment,Fully Furnished,,1h
Skyline Residences,610 Telok Blangah Road,,3500,2,2,829 sqft,S$ 4.22 psf,Condominium,Fully Furnished,2015,1h
Viva Vista,3 South Buona Vista Road,Ready to move,3200,3,2,796 sqft,S$ 4.02 psf,Condominium,Fully Furnished,2014,1h
10 Selegie Road,10 Selegie Road,Ready to move,2200,2,1,650 sqft,S$ 3.38 psf,HDB Apartment,Fully Furnished,,1h
Echelon,9 Alexandra View,Ready to move,5200,3,3,1292 sqft,S$ 4.02 psf,Condominium,Partially Furnished,2016,1h
22 Ghim Moh Link,22 Ghim Moh Link,Ready to move,3000,2,3,968 sqft,S$ 3.10 psf,HDB Apartment,Fully Furnished,,1h
274 Toh Guan Road,274 Toh Guan Road,Ready to move,2300,3,2,1087 sqft,S$ 2.12 psf,HDB Apartment,Fully Furnished,,1h
The Wisteria,592 Yishun Ring,Ready to move,1850,1,1,441 sqft,S$ 4.20 psf,Condominium,Fully Furnished,2018,1h
Nine Residences,14 Yishun Avenue 9,Ready to move,2300,2,2,700 sqft,S$ 3.29 psf,Apartment,Partially Furnished,2017,1h
Space @ Kovan,9 Yio Chu Kang Road,Ready to move,3200,3,2,1352 sqft,S$ 2.37 psf,Apartment,Partially Furnished,2014,1h
The Rochester,33 Rochester Drive,Ready to move,3900,1,1,861 sqft,S$ 4.53 psf,Apartment,,2011,1h
24 Kay Siang Road,24 Kay Siang Road,Ready to move,19000,5,3,5909 sqft 72904 sqft (land),S$ 0.26 psf,Conservation House,Unfurnished,,1h
Ardmore Residence,7 Ardmore Park,Ready to move,19000,4,5,3186 sqft,S$ 5.96 psf,Condominium,Partially Furnished,2013,1h
Orchard Scotts,11 Anthony Road,Ready to move,13400,4,3,2088 sqft,S$ 6.42 psf,Condominium,Partially Furnished,2007,1h
Centra Residence,8 Lorong 7 Geylang,Ready to move,1899,1,1,450 sqft,S$ 4.22 psf,Condominium,Fully Furnished,2017,1h
13 Farrer Park Road,13 Farrer Park Road,Ready to move,2800,3,2,1000 sqft,S$ 2.80 psf,HDB Apartment,Fully Furnished,,1h
The Arte,23 Jalan Raja Udang,Available from 1 Jun,5200,4,4,1840 sqft,S$ 2.83 psf,Condominium,Partially Furnished,2012,1h
Centro Residences,59 Ang Mo Kio Avenue 8,Ready to move,4000,3,2,1367 sqft,S$ 2.93 psf,Condominium,Partially Furnished,2014,1h
City Gate,371 Beach Road,Ready to move,2500,1,1,431 sqft,S$ 5.80 psf,Apartment,Fully Furnished,2019,1h
18 Woodsville,18 Woodsville Close,Ready to move,2200,1,1,4850 sqft,S$ 0.45 psf,Condominium,Partially Furnished,2015,1h
Ardmore Residence,7 Ardmore Park,Ready to move,19000,4,5,3186 sqft,S$ 5.96 psf,Condominium,Partially Furnished,2013,1h
Orchard Scotts,11 Anthony Road,Ready to move,13400,4,3,2088 sqft,S$ 6.42 psf,Condominium,Partially Furnished,2007,1h
Centra Residence,8 Lorong 7 Geylang,Ready to move,1899,1,1,450 sqft,S$ 4.22 psf,Condominium,Fully Furnished,2017,1h
13 Farrer Park Road,13 Farrer Park Road,Ready to move,2800,3,2,1000 sqft,S$ 2.80 psf,HDB Apartment,Fully Furnished,,1h
The Arte,23 Jalan Raja Udang,Available from 1 Jun,5200,4,4,1840 sqft,S$ 2.83 psf,Condominium,Partially Furnished,2012,1h
Centro Residences,59 Ang Mo Kio Avenue 8,Ready to move,4000,3,2,1367 sqft,S$ 2.93 psf,Condominium,Partially Furnished,2014,1h
City Gate,371 Beach Road,Ready to move,2500,1,1,431 sqft,S$ 5.80 psf,Apartment,Fully Furnished,2019,1h
18 Woodsville,18 Woodsville Close,Ready to move,2200,1,1,4850 sqft,S$ 0.45 psf,Condominium,Partially Furnished,2015,1h
The Crest,105 Prince Charles Crescent,Ready to move,3700,2,1,764 sqft,S$ 4.84 psf,Condominium,Partially Furnished,2017,1h
Brighton Crest,31A Brighton Crescent,Ready to move,6000,4,4,3151 sqft 1500 sqft (land),S$ 4.00 psf,Cluster House,Fully Furnished,2003,1h
D'leedon (former Farrer Court),1 Leedon Heights,Ready to move,5950,3,3,1614 sqft,S$ 3.69 psf,Condominium,Partially Furnished,2014,1h
Centro Residences,59 Ang Mo Kio Avenue 8,Ready to move,4100,3,2,1001 sqft,S$ 4.10 psf,Condominium,Partially Furnished,2014,1h
City Gate,371 Beach Road,Ready to move,3500,2,1,560 sqft,S$ 6.25 psf,Apartment,Fully Furnished,2019,1h
Northpark Residrnces,YISHUN CENTRAL,Available from 28 Mar,3300,2,2,730 sqft,S$ 4.52 psf,Condominium,Partially Furnished,2019,1h
UE Square,205 River Valley Road,Ready to move,5500,3,2,1507 sqft,S$ 3.65 psf,Apartment,Partially Furnished,1997,1h
City Gate,371 Beach Road,Ready to move,1800,1,1,280 sqft,S$ 6.43 psf,Apartment,Fully Furnished,2019,1h
76 Shenton,76 Shenton Way,Available from 18 Mar,3600,1,1,624 sqft,S$ 5.77 psf,Apartment,Fully Furnished,2014,1h
Trevista,25 Lorong 3 Toa Payoh,Available from 31 Mar,3300,2,2,861 sqft,S$ 3.83 psf,Condominium,Partially Furnished,2012,1h
Skyline Residences,612 Telok Blangah Road,Ready to move,5800,3,3,1292 sqft,S$ 4.49 psf,Condominium,Partially Furnished,2015,1h
EMERALD HILL ROAD,Emerald Hill Road,Available from 1 May,18500,5,4,6200 sqft 2500 sqft (land),S$ 7.40 psf,Terraced House,Partially Furnished,,1h
The Huntington,190 Moulmein Road,Ready to move,4000,3,2,1151 sqft,S$ 3.48 psf,Condominium,Fully Furnished,2000,1h
Fort Gardens,21 Fort Road,Ready to move,3801,3,2,1442 sqft,S$ 2.64 psf,Condominium,,1993,1h
Fort Gardens,21 Fort Road,Ready to move,3800,3,2,1442 sqft,S$ 2.64 psf,Condominium,,1993,1h
Flo Residence,Punggol Field Walk,Ready to move,1200,,,250 sqft,S$ 4.80 psf,Condominium,Fully Furnished,2016,1h
Rosewood,9 Rosewood Drive,Ready to move,2400,3,3,1174 sqft,S$ 2.04 psf,Condominium,Fully Furnished,2003,1h
The Sea View,31 Amber Road,Ready to move,10500,4,6,2726 sqft,S$ 3.85 psf,Condominium,Partially Furnished,2008,1h
32 Telok Blangah Rise,32 Telok Blangah Rise,Available from 7 Mar,2000,2,1,820 sqft,S$ 2.44 psf,HDB Apartment,Fully Furnished,,1h
673A Choa Chu Kang Crescent,673A Choa Chu Kang Crescent,,600,,,100 sqft,S$ 6.00 psf,HDB Apartment,Partially Furnished,,1h
628B Woodlands Ring Road,628B Woodlands Ring Road,Ready to move,600,,,100 sqft,S$ 6.00 psf,HDB Apartment,Partially Furnished,,1h
32 Telok Blangah Rise,32 Telok Blangah Rise,Available from 7 Mar,2000,2,1,826 sqft,S$ 2.42 psf,HDB Apartment,Fully Furnished,,1h
628B Woodlands Ring Road,628B Woodlands Ring Road,Ready to move,600,,,100 sqft,S$ 6.00 psf,HDB Apartment,Partially Furnished,,1h
32 Telok Blangah Rise,32 Telok Blangah Rise,Available from 7 Mar,2000,2,1,826 sqft,S$ 2.42 psf,HDB Apartment,Fully Furnished,,1h
Waterscape @ Cavenagh,65-65A Cavenagh Road,Ready to move,5000,3,2,1313 sqft,S$ 3.81 psf,Apartment,Partially Furnished,2014,1h
Concourse Skyline,300 Beach Road,Ready to move,5000,2,2,1098 sqft,S$ 4.55 psf,Condominium,Partially Furnished,2012,1h
Concourse Skyline,300 Beach Road,Ready to move,8000,4,3,2648 sqft,S$ 3.02 psf,Condominium,Partially Furnished,2012,1h
Concourse Skyline,300 Beach Road,Ready to move,4300,1,1,872 sqft,S$ 4.93 psf,Condominium,Partially Furnished,2012,1h
The Gardens @ Bishan,1 Sin Min Walk,Available from 7 Mar,2300,2,2,883 sqft,S$ 2.60 psf,Condominium,Fully Furnished,2004,1h
The Florida,70 Hougang Avenue 7,Ready to move,800,,,150 sqft,S$ 5.33 psf,Condominium,,2000,1h
Double Bay Residences,21 Simei Street 4,Available from 23 Mar,3000,2,2,936 sqft,S$ 3.21 psf,Condominium,Fully Furnished,2012,1h
The Bencoolen,180 Bencoolen Street,Ready to move,3600,2,2,986 sqft,S$ 3.65 psf,Apartment,Fully Furnished,1998,1h
617 Ang Mo Kio Avenue 4,617 Ang Mo Kio Avenue 4,Ready to move,750,,,250 sqft,S$ 3.00 psf,HDB Apartment,Fully Furnished,,1h
International Plaza,10 Anson Road,Ready to move,2900,1,1,700 sqft,S$ 4.14 psf,Apartment,Fully Furnished,1976,1h
One Tree Hill Residence,1A One Tree Hill,Available from 30 Apr,5500,3,3,1130 sqft,S$ 4.87 psf,Condominium,Fully Furnished,2008,1h
Alexis,356 Alexandra Road,Available from 31 Mar,2900,2,1,861 sqft,S$ 3.37 psf,Apartment,Fully Furnished,2014,1h
Space @ Kovan,9 Yio Chu Kang Road,Ready to move,2800,2,2,840 sqft,S$ 3.33 psf,Apartment,,2014,1h
Loft @ Holland,151 Holland Road,Ready to move,2900,1,1,323 sqft,S$ 8.98 psf,Condominium,Fully Furnished,2015,1h
Lumiere,2 Mistri Road,Ready to move,3450,1,1,678 sqft,S$ 5.09 psf,Apartment,Partially Furnished,2012,1h
Pepys Hill Condo,19 Pepys Road,Ready to move,7800,4,4,3200 sqft,S$ 2.44 psf,Condominium,Partially Furnished,1988,1h
431 Clementi Avenue 3,431 Clementi Avenue 3,,2400,2,2,818 sqft,S$ 2.93 psf,HDB Apartment,Partially Furnished,,1h
906 Jurong West Street 91,906 Jurong West Street 91,Available from 1 Apr,2500,3,2,1560 sqft,S$ 1.60 psf,HDB Apartment,Fully Furnished,,1h
The Tropic Gardens,332 Upper East Coast Road,Ready to move,2700,2,2,1248 sqft,S$ 2.16 psf,Condominium,Partially Furnished,1995,1h
Guillemard Suites,213 Guillemard Road,Ready to move,2300,1,2,516 sqft,S$ 4.46 psf,Apartment,Partially Furnished,2017,1h
Water Place,171 Tanjong Rhu Road,Ready to move,3800,3,3,1281 sqft,S$ 2.97 psf,Condominium,Fully Furnished,2004,1h
The Metz,83 Devonshire Road,Ready to move,3900,1,1,570 sqft,S$ 6.84 psf,Condominium,Fully Furnished,2007,1h
Altez,16 Enggor Street,Ready to move,7800,2,2,1109 sqft,S$ 7.03 psf,Condominium,Partially Furnished,2014,1h
The Scotts Tower,38 Scotts Road,Ready to move,7400,2,2,840 sqft,S$ 8.81 psf,Condominium,Partially Furnished,2020,1h
222 Yishun Street 21,222 Yishun Street 21,Ready to move,600,,,100 sqft,S$ 6.00 psf,HDB Apartment,Fully Furnished,,1h
Silversea,50A Marine Parade Road,Ready to move,15800,4,4,4596 sqft,S$ 3.44 psf,Condominium,Partially Furnished,2014,1h
Centro Residences,59 Ang Mo Kio Avenue 8,Ready to move,4300,3,3,1367 sqft,S$ 3.15 psf,Condominium,Partially Furnished,2014,1h
Bijou,2 Jalan Mat Jambol,Ready to move,3300,1,1,624 sqft,S$ 5.29 psf,Condominium,Partially Furnished,2018,1h
The Scotts Tower,38 Scotts Road,Ready to move,7400,2,2,840 sqft,S$ 8.81 psf,Condominium,Partially Furnished,2020,1h
222 Yishun Street 21,222 Yishun Street 21,Ready to move,600,,,100 sqft,S$ 6.00 psf,HDB Apartment,Fully Furnished,,1h
Silversea,50A Marine Parade Road,Ready to move,15800,4,4,4596 sqft,S$ 3.44 psf,Condominium,Partially Furnished,2014,1h
Centro Residences,59 Ang Mo Kio Avenue 8,Ready to move,4300,3,3,1367 sqft,S$ 3.15 psf,Condominium,Partially Furnished,2014,1h
Bijou,2 Jalan Mat Jambol,Ready to move,3300,1,1,624 sqft,S$ 5.29 psf,Condominium,Partially Furnished,2018,1h
Dover Parkview,30 Dover Rise,,1200,,,150 sqft,S$ 8.00 psf,Condominium,Fully Furnished,1997,1h
Riverbay,23 Mar Thomas Road,Available from 14 Mar,2000,1,1,496 sqft,S$ 4.03 psf,Condominium,Fully Furnished,2014,1h
BEAUTIFULLY RENOVATED BUNGALOW FOR RENT!,Holland Heights,Ready to move,18000,5,5,5000 sqft 8800 sqft (land),S$ 2.05 psf,Bungalow House,Partially Furnished,,1h
Marina Bay Residences,18 Marina Boulevard,Available from 31 Mar,7500,2,2,1216 sqft,S$ 6.17 psf,Condominium,Partially Furnished,2010,1h
G Residences,50 Lorong G Telok Kurau,Ready to move,3300,2,2,786 sqft,S$ 4.20 psf,Condominium,Partially Furnished,2016,1h
235 Serangoon Avenue 3,235 Serangoon Avenue 3,,700,,,200 sqft,S$ 3.50 psf,HDB Apartment,Partially Furnished,,1h
261 Serangoon Central Drive,261 Serangoon Central Drive,,700,,,200 sqft,S$ 3.50 psf,HDB Apartment,Partially Furnished,,1h
554 Jurong West Street 42,554 Jurong West Street 42,Ready to move,1800,3,2,900 sqft,S$ 2.00 psf,HDB Apartment,Partially Furnished,,1h
Eastern Lagoon II,202 Upper East Coast Road,Ready to move,2600,2,2,893 sqft,S$ 2.91 psf,Condominium,Fully Furnished,1985,1h
The Cosmopolitan,200 Kim Seng Road,Available from 1 May,8500,4,4,1679 sqft,S$ 5.06 psf,Condominium,Partially Furnished,2008,1h
One Mount Rosie,1 Mt. Rosie Road,Ready to move,6400,5,4,4852 sqft 4852 sqft (land),S$ 1.32 psf,Cluster House,Partially Furnished,2008,1h
Eight Courtyards,2 Canberra Drive,Ready to move,2500,2,2,915 sqft,S$ 2.73 psf,Condominium,Partially Furnished,2014,1h
Oue Twin Peaks,33 Leonie Hill Road,Ready to move,3800,1,1,517 sqft,S$ 7.35 psf,Condominium,,2014,1h
Casa Sarina,101 Lorong Sarina,Available from 8 Mar,2999,3,3,1399 sqft,S$ 2.14 psf,Condominium,,1998,1h
The Pier @ Robertson,80 Mohamed Sultan Road,Available from 1 May,3500,1,1,678 sqft,S$ 5.16 psf,Apartment,,2006,1h
The Pier @ Robertson,80 Mohamed Sultan Road,Ready to move,5200,2,2,950 sqft,S$ 5.47 psf,Apartment,,2006,1h
Tierra Vue,36 Saint Patrick's Road,Ready to move,3500,3,2,1216 sqft,S$ 2.88 psf,Condominium,,2010,1h
23 Mohamed Ali Lane Studio Loft for Rent!,23 mohamed Ali Lane,Ready to move,3500,1,1,705 sqft 705 sqft (land),S$ 4.96 psf,Conservation House,Fully Furnished,,1h
The Sail @ Marina Bay,2 Marina Boulevard,Ready to move,3000,1,1,678 sqft,S$ 4.42 psf,Apartment,Fully Furnished,2008,1h
Duo Residences,1 Fraser Street,Ready to move,4000,1,1,711 sqft,S$ 5.63 psf,Apartment,,2017,1h
Belle Vue Residences,19 Oxley Walk,Ready to move,8500,3,2,2033 sqft,S$ 4.18 psf,Condominium,Fully Furnished,2011,1h
Suffolk Premier,3 Suffolk Road,Ready to move,4800,3,3,1100 sqft,S$ 4.36 psf,Apartment,Partially Furnished,2009,1h
The Hacienda,1 Hacienda Grove,Ready to move,4200,3,3,1800 sqft,S$ 2.33 psf,Condominium,Partially Furnished,1985,1h
Thomson Garden Estate,Thomson Garden Estate,Ready to move,3500,4,3,2500 sqft 3900 sqft (land),S$ 0.90 psf,Corner Terrace,Partially Furnished,,1h
Suites 28,28 Lorong 30 Geylang,Available from 28 Mar,2050,1,1,350 sqft,S$ 5.86 psf,Apartment,Fully Furnished,2015,1h
Duo Residences,1 Fraser Street,Ready to move,4000,1,1,711 sqft,S$ 5.63 psf,Apartment,,2017,1h
Belle Vue Residences,19 Oxley Walk,Ready to move,8500,3,2,2033 sqft,S$ 4.18 psf,Condominium,Fully Furnished,2011,1h
Suffolk Premier,3 Suffolk Road,Ready to move,4800,3,3,1100 sqft,S$ 4.36 psf,Apartment,Partially Furnished,2009,1h
The Hacienda,1 Hacienda Grove,Ready to move,4200,3,3,1800 sqft,S$ 2.33 psf,Condominium,Partially Furnished,1985,1h
Thomson Garden Estate,Thomson Garden Estate,Ready to move,3500,4,3,2500 sqft 3900 sqft (land),S$ 0.90 psf,Corner Terrace,Partially Furnished,,1h
Suites 28,28 Lorong 30 Geylang,Available from 28 Mar,2050,1,1,350 sqft,S$ 5.86 psf,Apartment,Fully Furnished,2015,1h
Tiara,1 Kim Seng Walk,Ready to move,5000,3,3,1281 sqft,S$ 3.90 psf,Apartment,Partially Furnished,1995,1h
Lloyd Sixtyfive,65 Lloyd Road,Ready to move,5300,1,1,872 sqft,S$ 6.08 psf,Condominium,Partially Furnished,2016,1h
Icon,10 Gopeng Street,Ready to move,5800,2,2,1259 sqft,S$ 4.61 psf,Apartment,Partially Furnished,2007,1h
1 Pine Close,1 Pine Close,Ready to move,3000,3,2,1184 sqft,S$ 2.53 psf,HDB Apartment,Fully Furnished,,1h
Trevista,25 Lorong 3 Toa Payoh,Ready to move,3600,3,2,1012 sqft,S$ 3.56 psf,Condominium,Fully Furnished,2012,1h
Brand New Renovated Bungalow House at Kay Siang Road,Kay Siang Road,Ready to move,20000,5,5,5203 sqft 50020 sqft (land),S$ 0.40 psf,Bungalow House,Unfurnished,,1h
Marina Bay Residences,18 Marina Boulevard,Ready to move,7500,2,2,1216 sqft,S$ 6.17 psf,Condominium,Partially Furnished,2010,1h
131 Bedok North Avenue 3,131 Bedok North Avenue 3,Ready to move,900,,,120 sqft,S$ 7.50 psf,HDB Apartment,Fully Furnished,,1h
Kensington Park,12 Kensington Park Drive,Ready to move,3500,3,2,1300 sqft,S$ 2.69 psf,Condominium,Fully Furnished,1990,1h
Changi Court,708 Upper Changi Road East,Ready to move,2600,2,2,969 sqft,S$ 2.68 psf,Condominium,Fully Furnished,1997,1h
Kim Sia Court,1 Jalan Jintan,Ready to move,3200,2,2,1066 sqft,S$ 3.00 psf,Apartment,Fully Furnished,1970,1h
440 Fajar Road,440 Fajar Road,Available from 1 Apr,1950,3,2,1098 sqft,S$ 1.78 psf,HDB Apartment,Fully Furnished,,1h
305 Bukit Batok Street 31,305 Bukit Batok Street 31,Ready to move,1800,2,2,731 sqft,S$ 2.46 psf,HDB Apartment,Fully Furnished,,1h
J Gateway,2 Gateway Drive,Available from 1 Apr,4000,3,2,947 sqft,S$ 4.22 psf,Condominium,Partially Furnished,2017,1h
Centro Residences,59 Ang Mo Kio Avenue 8,Ready to move,4000,3,2,904 sqft,S$ 4.42 psf,Condominium,Fully Furnished,2014,1h
